target,is_white,material_diff,rating_diff,mobility_count,king_moved,open_Center Game,open_Kings Pawn Opening 1...e5,open_Kings Pawn Opening Kings Knight Variation,open_Other,open_Scandinavian Defense,open_Scandinavian Defense Mieses Kotrc Variation 3.Nc3,open_Scotch Game
1,0.0,-4.0,13,24.0,1.0,False,False,False,True,False,False,False
0,1.0,-12.0,-15,37.0,1.0,False,False,False,True,False,False,False
0,0.0,-8.0,-35,24.0,0.0,False,False,False,True,False,False,False
0,1.0,-4.0,2,0.0,1.0,False,False,False,True,False,False,False
1,0.0,0.0,6,44.0,1.0,False,False,False,False,False,False,False
1,1.0,0.0,-5,36.0,1.0,False,False,False,True,False,False,False
0,0.0,-6.0,-21,33.0,1.0,False,True,False,False,False,False,False
0,1.0,-2.0,-135,3.0,1.0,False,False,False,True,False,False,False
1,1.0,1.0,26,45.0,1.0,False,False,False,True,False,False,False
1,0.0,-3.0,5,32.0,1.0,True,False,False,False,False,False,False
1,0.0,2.0,11,34.0,1.0,False,False,False,True,False,False,False
0,0.0,-11.0,-42,36.0,1.0,False,False,False,True,False,False,False
1,1.0,8.0,22,49.0,1.0,False,False,False,False,False,True,False
0,1.0,1.0,-33,37.0,1.0,False,False,False,True,False,False,False
1,1.0,-4.0,28,51.0,1.0,False,False,False,True,False,False,False
1,0.0,-1.0,42,40.0,1.0,False,False,False,True,False,False,False
1,1.0,0.0,4,34.0,1.0,False,False,False,True,False,False,False
0,0.0,1.0,2,49.0,1.0,False,False,False,True,False,False,False
0,0.0,-18.0,-38,2.0,1.0,False,False,False,True,False,False,False
1,1.0,1.0,36,26.0,1.0,False,False,False,False,True,False,False
1,1.0,1.0,25,34.0,1.0,False,False,False,True,False,False,False
1,0.0,-4.0,13,2.0,1.0,False,False,False,True,False,False,False
1,0.0,-1.0,25,38.0,0.0,False,False,False,True,False,False,False
0,1.0,-7.0,-37,35.0,1.0,False,False,False,True,False,False,False
0,1.0,-1.0,-12,41.0,1.0,False,False,False,True,False,False,False
0,0.0,0.0,-22,38.0,0.0,False,False,False,True,False,False,False
0,0.0,-2.0,-34,30.0,1.0,False,False,False,True,False,False,False
0,0.0,-5.0,-14,33.0,0.0,False,False,False,True,False,False,False
0,0.0,-4.0,-3,35.0,1.0,False,False,False,True,False,False,False
1,1.0,-7.0,-5,21.0,1.0,False,False,False,True,False,False,False
1,0.0,0.0,44,44.0,1.0,False,False,False,True,False,False,False
1,1.0,1.0,65,39.0,1.0,False,False,False,True,False,False,False
1,0.0,-1.0,10,40.0,1.0,False,True,False,False,False,False,False
0,1.0,-1.0,-18,32.0,1.0,False,False,False,True,False,False,False
1,1.0,4.0,10,38.0,0.0,False,False,False,True,False,False,False
0,1.0,-4.0,-30,26.0,1.0,False,False,False,True,False,False,False
0,0.0,-1.0,-31,42.0,1.0,False,False,False,True,False,False,False
1,0.0,-1.0,15,45.0,1.0,False,False,False,True,False,False,False
1,1.0,2.0,1,42.0,1.0,False,False,False,True,False,False,False
0,1.0,0.0,-23,27.0,1.0,False,False,False,True,False,False,False
1,0.0,0.0,32,31.0,0.0,False,False,False,True,False,False,False
1,1.0,2.0,176,39.0,1.0,False,False,False,True,False,False,False
1,1.0,-1.0,37,44.0,1.0,False,False,False,True,False,False,False
0,1.0,-11.0,-25,1.0,0.0,False,False,False,True,False,False,False
0,0.0,-2.0,-16,39.0,1.0,False,False,False,True,False,False,False
0,0.0,-7.0,-13,4.0,1.0,False,False,False,True,False,False,False
1,0.0,7.0,8,38.0,1.0,False,False,False,True,False,False,False
0,0.0,-1.0,-65,41.0,1.0,False,False,False,True,False,False,False
1,1.0,0.0,176,38.0,1.0,False,False,False,True,False,False,False
